text,author,tags,index_on_page,page_num,html_file,processed_text,cluster
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"['change', 'deep-thoughts', 'thinking', 'world']",1,1,data/quotes/html/quotes_page_1.html,“ world created process thinking changed without changing thinking ”,4
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"['abilities', 'choices']",2,1,data/quotes/html/quotes_page_1.html,“ choice harry show truly far ability ”,0
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']",3,1,data/quotes/html/quotes_page_1.html,“ two way live life one though nothing miracle though everything miracle ”,2
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"['aliteracy', 'books', 'classic', 'humor']",4,1,data/quotes/html/quotes_page_1.html,“ person gentleman lady pleasure good novel must intolerably stupid ”,5
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"['be-yourself', 'inspirational']",5,1,data/quotes/html/quotes_page_1.html,“ imperfection beauty madness genius better absolutely ridiculous absolutely boring ”,0
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"['adulthood', 'success', 'value']",6,1,data/quotes/html/quotes_page_1.html,“ try become man success rather become man value ”,0
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"['life', 'love']",7,1,data/quotes/html/quotes_page_1.html,“ better hated loved ”,0
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']",8,1,data/quotes/html/quotes_page_1.html,“ failed ive found way wont work ”,1
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,['misattributed-eleanor-roosevelt'],9,1,data/quotes/html/quotes_page_1.html,“ woman like tea bag never know strong hot water ”,3
"“A day without sunshine is like, you know, night.”",Steve Martin,"['humor', 'obvious', 'simile']",10,1,data/quotes/html/quotes_page_1.html,“ day without sunshine like know night ”,3
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']",1,2,data/quotes/html/quotes_page_2.html,“ life make matter youre going mess sometimes universal truth good part get decide youre going mess girl friend theyll act like anyway remember come go one stay everything theyre true best friend dont let go also remember sister make best friend world lover well theyll come go baby hate say actually pretty much going break heart cant give give youll never find soulmate youll never find half make whole go everything fail doesnt mean youre gon na fail everything keep trying hold always always always believe dont sweetie keep head high keep chin importantly keep smiling life beautiful thing there much smile ”,5
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"['courage', 'friends']",2,2,data/quotes/html/quotes_page_2.html,“ take great deal bravery stand enemy much stand friend ”,5
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"['simplicity', 'understand']",3,2,data/quotes/html/quotes_page_2.html,“ cant explain six year old dont understand ”,3
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,['love'],4,2,data/quotes/html/quotes_page_2.html,“ may first last loved may love love else matter shes perfect—you arent either two may never perfect together make laugh cause think twice admit human making mistake hold onto give may thinking every second day give part know break—her heart dont hurt dont change dont analyze dont expect give smile make happy let know make mad miss shes ”,4
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,['fantasy'],5,2,data/quotes/html/quotes_page_2.html,“ like nonsense wake brain cell fantasy necessary ingredient living ”,0
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"['life', 'navigation']",6,2,data/quotes/html/quotes_page_2.html,“ may gone intended go think ended needed ”,2
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']",7,2,data/quotes/html/quotes_page_2.html,“ opposite love hate indifference opposite art ugliness indifference opposite faith heresy indifference opposite life death indifference ”,1
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']",8,2,data/quotes/html/quotes_page_2.html,“ lack love lack friendship make unhappy marriage ”,1
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']",9,2,data/quotes/html/quotes_page_2.html,“ good friend good book sleepy conscience ideal life ”,5
“Life is what happens to us while we are making other plans.”,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",10,2,data/quotes/html/quotes_page_2.html,“ life happens u making plan ”,5
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"['love', 'poetry']",1,3,data/quotes/html/quotes_page_3.html,“ love without knowing love simply without problem pride love way know way loving intimate hand upon chest hand intimate fall asleep eye close ”,1
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,['happiness'],2,3,data/quotes/html/quotes_page_3.html,“ every minute angry lose sixty second happiness ”,0
"“If you judge people, you have no time to love them.”",Mother Teresa,['attributed-no-source'],3,3,data/quotes/html/quotes_page_3.html,“ judge people time love ”,1
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"['humor', 'religion']",4,3,data/quotes/html/quotes_page_3.html,“ anyone think sitting church make christian must also think sitting garage make car ”,4
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,['humor'],5,3,data/quotes/html/quotes_page_3.html,“ beauty eye beholder may necessary time time give stupid misinformed beholder black eye ”,0
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"['comedy', 'life', 'yourself']",6,3,data/quotes/html/quotes_page_3.html,“ today truer true one alive youer ”,2
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"['children', 'fairy-tales']",7,3,data/quotes/html/quotes_page_3.html,“ want child intelligent read fairy tale want intelligent read fairy tale ”,4
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,[],8,3,data/quotes/html/quotes_page_3.html,“ impossible live without failing something unless live cautiously might well lived case fail default ”,2
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,['imagination'],9,3,data/quotes/html/quotes_page_3.html,“ logic get z imagination get everywhere ”,0
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,['music'],10,3,data/quotes/html/quotes_page_3.html,“ one good thing music hit feel pain ”,5
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"['learning', 'reading', 'seuss']",1,4,data/quotes/html/quotes_page_4.html,“ read thing know learn place youll go ”,3
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,['dumbledore'],2,4,data/quotes/html/quotes_page_4.html,“ course happening inside head harry earth mean real ”,0
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,['friendship'],3,4,data/quotes/html/quotes_page_4.html,“ truth everyone going hurt got find one worth suffering ”,4
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']",4,4,data/quotes/html/quotes_page_4.html,“ u great thing small thing great love ”,1
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"['death', 'inspirational']",5,4,data/quotes/html/quotes_page_4.html,“ wellorganized mind death next great adventure ”,0
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']",6,4,data/quotes/html/quotes_page_4.html,“ need love little chocolate doesnt hurt ”,1
“We read to know we're not alone.”,William Nicholson,"['misattributed-to-c-s-lewis', 'reading']",7,4,data/quotes/html/quotes_page_4.html,“ read know alone ”,3
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']",8,4,data/quotes/html/quotes_page_4.html,“ fool know point understand ”,3
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']",9,4,data/quotes/html/quotes_page_4.html,“ always imagined paradise kind library ”,0
“It is never too late to be what you might have been.”,George Eliot,['inspirational'],10,4,data/quotes/html/quotes_page_4.html,“ never late might ”,6
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"['read', 'readers', 'reading', 'reading-books']",1,5,data/quotes/html/quotes_page_5.html,“ reader life thousand life dy said jojen man never read life one ”,5
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']",2,5,data/quotes/html/quotes_page_5.html,“ never get cup tea large enough book long enough suit ”,6
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,[],3,5,data/quotes/html/quotes_page_5.html,“ believe lie eventually learn trust one ”,2
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"['girls', 'love']",4,5,data/quotes/html/quotes_page_5.html,“ make woman laugh make anything ”,0
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"['life', 'simile']",5,5,data/quotes/html/quotes_page_5.html,“ life like riding bicycle keep balance must keep moving ”,0
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,['love'],6,5,data/quotes/html/quotes_page_5.html,“ real lover man thrill kissing forehead smiling eye staring space ”,0
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,['attributed-no-source'],7,5,data/quotes/html/quotes_page_5.html,“ wise girl kiss doesnt love listens doesnt believe leaf left ”,1
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"['hope', 'inspirational']",8,5,data/quotes/html/quotes_page_5.html,“ darkness see star ”,0
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,['dumbledore'],9,5,data/quotes/html/quotes_page_5.html,“ matter someone born grow ”,0
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,['love'],10,5,data/quotes/html/quotes_page_5.html,“ love begin end way seem think love battle love war love growing ”,1
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"['friendship', 'love']",1,6,data/quotes/html/quotes_page_6.html,“ nothing would really friend notion loving people half nature ”,5
“Do one thing every day that scares you.”,Eleanor Roosevelt,"['attributed', 'fear', 'inspiration']",2,6,data/quotes/html/quotes_page_6.html,“ one thing every day scare ”,2
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,['attributed-no-source'],3,6,data/quotes/html/quotes_page_6.html,“ good angel sin devil small girl big world trying find someone love ”,5
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,['music'],4,6,data/quotes/html/quotes_page_6.html,“ physicist would probably musician often think music live daydream music see life term music ”,2
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"['books', 'thought']",5,6,data/quotes/html/quotes_page_6.html,“ read book everyone else reading think everyone else thinking ”,4
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,['misattributed-to-einstein'],6,6,data/quotes/html/quotes_page_6.html,“ difference genius stupidity genius limit ”,0
"“He's like a drug for you, Bella.”",Stephenie Meyer,"['drug', 'romance', 'simile']",7,6,data/quotes/html/quotes_page_6.html,“ he like drug bella ”,0
“There is no friend as loyal as a book.”,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']",8,6,data/quotes/html/quotes_page_6.html,“ friend loyal book ”,5
